Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key307,SAN DIEGO,SAN DIEGO,CA,92117,42,132,327,216,81,476,486,612,652,619
Key312,TORRANCE,LOS ANGELES,CA,90505,141,357,618,252,261,833,844,1002,1187,1010
Key367,SOUTH LAKE TAHOE,EL DORADO,CA,96150,96.6,444,496,160.83,301,642,642,718,770,760
Key368,PACIFIC GROVE,MONTEREY,CA,93950,96.6,504,682,307,307,733,734,795,1106,881
Key387,LANCASTER,LOS ANGELES,CA,93534,152,460,496,228,299,678,704,851,888,916
Key406,DOWNEY,LOS ANGELES,CA,90242,236,586,650,482,482,738,798,978,1088,1256
Key411,ROCKLIN,PLACER,CA,95765,96.6,391,503,236,269,599,599,689,775,697
Key416,LANCASTER,LOS ANGELES,CA,93534,240,374,428,223,223,599,619,722,798,767
Key419,RANCHO SANTA FE,SAN DIEGO,CA,92091,97,314,462,97,286,738,752,829,902,854
Key423,LA MIRADA,LOS ANGELES,CA,90638,240,338,535,273,277,738,813,879,1093,919
Key426,BUENA PARK,ORANGE,CA,90620,186,431,484,205,212,618,634,739,805,771
Key443,IRVINE,ORANGE,CA,92620,96.6,258.2,2,160.83,164.52,383,401,565,643,565
Key444,LAKE FOREST,ORANGE,CA,92630,96.6,660,721,574,576,794,834,933,980,945
Key445,BAKERSFIELD,KERN,CA,93313,96.6,258.2,155,160.83,164.52,319,326,472,479,479
Key446,LOS ANGELES,LOS ANGELES,CA,90005,96.6,666,770,160.83,424,850,879,984,1005,1032
Key447,NEWPORT BEACH,ORANGE,CA,92660,96.6,258.2,385.85,160.83,164.52,543,550,672,696,716
Key448,PASADENA,LOS ANGELES,CA,91105,96.6,2,185,160.83,164.52,351,444,571,696,571
Key455,PASADENA,LOS ANGELES,CA,91107,96.6,258.2,156,160.83,164.52,577,578,700,757,735
Key456,BAKERSFIELD,KERN,CA,93311,96.6,258.2,115,160.83,164.52,487,567,728,729,763
Key475,ANAHEIM,ORANGE,CA,92802,96.6,95,128,160.83,164.52,727,838,914,1006,948
Key479,BEAUMONT,RIVERSIDE,CA,92223,83,84,84,84,84,273,292,357,465,368
Key498,ESCONDIDO,SAN DIEGO,CA,92026,96.6,21,476,752,164.52,700,700,801,906,949
Key506,SUNNYVALE,SANTA CLARA,CA,94085,96.6,258.2,385.85,160.83,164.52,708,712,847,898,897
Key510,SAN MATEO,SAN MATEO,CA,94403,96.6,258.2,385.85,160.83,164.52,563,575,694,739,723
Key522,PALMDALE,LOS ANGELES,CA,93550,96.6,258.2,385.85,160.83,164.52,147,156,270,322,472
Key542,HAWTHORNE,LOS ANGELES,CA,90250,96.6,278,363,160.83,164.52,474,543,637,651,690
Key550,SALINAS,MONTEREY,CA,93901,96.6,163,385.85,160.83,164.52,402,419,531,619,556
Key560,PASADENA,LOS ANGELES,CA,91109,96.6,258.2,385.85,160.83,164.52,474,539,628,683,661
Key562,LOS ANGELES,LOS ANGELES,CA,90006,96.6,258.2,385.85,160.83,164.52,291,297,395,457,452
Key564,LAGUNA BEACH,ORANGE,CA,92651,96.6,258.2,457,160.83,164.52,543,641,757,861,863
Key566,LONG BEACH,LOS ANGELES,CA,90813,96.6,258.2,385.85,160.83,164.52,165,338,456,547,457
Key567,LONG BEACH,LOS ANGELES,CA,90806,96.6,338,389,160.83,233,562,620,728,781,764
Key568,LONG BEACH,LOS ANGELES,CA,90813,96.6,258.2,119,160.83,164.52,284,392,563,669,567
Key569,LOS ANGELES,LOS ANGELES,CA,90047,96.6,58,371,160.83,164.52,564,592,683,702,794
Key571,BAKERSFIELD,KERN,CA,93307,96.6,258.2,31,160.83,164.52,353,403,444,464,485
Key572,BAKERSFIELD,KERN,CA,93309,96.6,258.2,273,160.83,164.52,485,487,637,640,640
Key573,BAKERSFIELD,KERN,CA,93307,96.6,258.2,86,160.83,164.52,282,283,365,421,512
Key574,LONG BEACH,LOS ANGELES,CA,90804,96.6,120,130,160.83,164.52,702,710,900,945,934
Key575,SANTA MONICA,LOS ANGELES,CA,90405,96.6,520,575,160.83,164.52,794,802,893,913,920
Key576,LOS ANGELES,LOS ANGELES,CA,90065,96.6,258.2,385.85,160.83,164.52,277,338,380,438,477
Key585,STOCKTON,SAN JOAQUIN,CA,95202,790,258.2,542,91,91,841,841,1001,1079,1093
Key586,ATHERTON,SAN MATEO,CA,94027,790,909,901,722,722,676,837,1015,1068,951
Key591,FORT IRWIN,SAN BERNARDINO,CA,92310,96.6,258.2,385.85,160.83,164.52,327,378,515,594,654
Key601,LOS ANGELES,LOS ANGELES,CA,90011,96.6,258.2,385.85,160.83,164.52,165,304,448,623,448
